City,County,Year,Median_List_Rent,Median_List_Rent_IA,Median_List_Rent_PercentChg_1994,Median_List_Rent_IA_PercentChg_1994,Source
Brentwood,Contra Costa County,2003,,,,,real Answers
American Canyon,Napa County,1994,,,,,real Answers
American Canyon,Napa County,1995,,,,,real Answers
American Canyon,Napa County,1996,,,,,real Answers
American Canyon,Napa County,1997,,,,,real Answers
American Canyon,Napa County,1998,,,,,real Answers
American Canyon,Napa County,1999,,,,,real Answers
American Canyon,Napa County,2000,,,,,real Answers
American Canyon,Napa County,2001,,,,,real Answers
American Canyon,Napa County,2002,,,,,real Answers
American Canyon,Napa County,2003,,,,,real Answers
American Canyon,Napa County,2004,,,,,real Answers
American Canyon,Napa County,2005,,,,,real Answers
Brentwood,Contra Costa County,2004,,,,,real Answers
Berkeley,Alameda County,1994,,,,,real Answers
Berkeley,Alameda County,1995,,,,,real Answers
Berkeley,Alameda County,1996,,,,,real Answers
Berkeley,Alameda County,1997,,,,,real Answers
Berkeley,Alameda County,1998,,,,,real Answers
Berkeley,Alameda County,1999,,,,,real Answers
Berkeley,Alameda County,2000,,,,,real Answers
Berkeley,Alameda County,2001,,,,,real Answers
Berkeley,Alameda County,2002,,,,,real Answers
Brentwood,Contra Costa County,1994,,,,,real Answers
Brentwood,Contra Costa County,1995,,,,,real Answers
Brentwood,Contra Costa County,1996,,,,,real Answers
Brentwood,Contra Costa County,1997,,,,,real Answers
Brentwood,Contra Costa County,1998,,,,,real Answers
Brentwood,Contra Costa County,1999,,,,,real Answers
Brentwood,Contra Costa County,2000,,,,,real Answers
Brentwood,Contra Costa County,2001,,,,,real Answers
Brentwood,Contra Costa County,2002,,,,,real Answers
Brentwood,Contra Costa County,2005,,,,,real Answers
Colma,San Mateo County,1994,,,,,real Answers
Colma,San Mateo County,1995,,,,,real Answers
Colma,San Mateo County,1996,,,,,real Answers
Colma,San Mateo County,1997,,,,,real Answers
Colma,San Mateo County,1998,,,,,real Answers
Colma,San Mateo County,1999,,,,,real Answers
Colma,San Mateo County,2000,,,,,real Answers
Colma,San Mateo County,2001,,,,,real Answers
Colma,San Mateo County,2002,,,,,real Answers
Colma,San Mateo County,2003,,,,,real Answers
Colma,San Mateo County,2004,,,,,real Answers
Colma,San Mateo County,2005,,,,,real Answers
Dixon,Solano County,2006,,,,,real Answers
Dixon,Solano County,1994,,,,,real Answers
Dixon,Solano County,1995,,,,,real Answers
Dixon,Solano County,1996,,,,,real Answers
Dixon,Solano County,1997,,,,,real Answers
Dixon,Solano County,1998,,,,,real Answers
Dixon,Solano County,1999,,,,,real Answers
Dixon,Solano County,2000,,,,,real Answers
Dixon,Solano County,2001,,,,,real Answers
Dixon,Solano County,2002,,,,,real Answers
Dixon,Solano County,2003,,,,,real Answers
Dixon,Solano County,2004,,,,,real Answers
Dixon,Solano County,2005,,,,,real Answers
Emeryville,Alameda County,1994,,,,,real Answers
Emeryville,Alameda County,1995,,,,,real Answers
Emeryville,Alameda County,1996,,,,,real Answers
Emeryville,Alameda County,1997,,,,,real Answers
Emeryville,Alameda County,1998,,,,,real Answers
Emeryville,Alameda County,1999,,,,,real Answers
Emeryville,Alameda County,2000,,,,,real Answers
Emeryville,Alameda County,2001,,,,,real Answers
Emeryville,Alameda County,2002,,,,,real Answers
Emeryville,Alameda County,2003,,,,,real Answers
Menlo Park,San Mateo County,1994,,,,,real Answers
Menlo Park,San Mateo County,1995,,,,,real Answers
Menlo Park,San Mateo County,1996,,,,,real Answers
Menlo Park,San Mateo County,1997,,,,,real Answers
Menlo Park,San Mateo County,1998,,,,,real Answers
Menlo Park,San Mateo County,1999,,,,,real Answers
Menlo Park,San Mateo County,2000,,,,,real Answers
Menlo Park,San Mateo County,2001,,,,,real Answers
Menlo Park,San Mateo County,2002,,,,,real Answers
Menlo Park,San Mateo County,2003,,,,,real Answers
Menlo Park,San Mateo County,2004,,,,,real Answers
Menlo Park,San Mateo County,2005,,,,,real Answers
Napa,Napa County,1994,,,,,real Answers
Napa,Napa County,1995,,,,,real Answers
San Pablo,Contra Costa County,2004,,,,,real Answers
San Pablo,Contra Costa County,1994,,,,,real Answers
San Pablo,Contra Costa County,1995,,,,,real Answers
San Pablo,Contra Costa County,1996,,,,,real Answers
San Pablo,Contra Costa County,1997,,,,,real Answers
San Pablo,Contra Costa County,1998,,,,,real Answers
San Pablo,Contra Costa County,1999,,,,,real Answers
San Pablo,Contra Costa County,2000,,,,,real Answers
San Pablo,Contra Costa County,2001,,,,,real Answers
San Pablo,Contra Costa County,2002,,,,,real Answers
San Pablo,Contra Costa County,2003,,,,,real Answers
San Pablo,Contra Costa County,2005,,,,,real Answers
Brentwood,Contra Costa County,2015,1905,1905,,,real Answers
Antioch,Contra Costa County,2011,955,1058,0.6112,0.0265,real Answers
Union City,Alameda County,2011,1330,1474,0.7457,0.1122,real Answers
Concord,Contra Costa County,1996,649,1083,-0.0019,-0.0431,real Answers
American Canyon,Napa County,2007,1715,2053,,,real Answers
Richmond,Contra Costa County,2001,1316,1792,0.7727,0.3881,real Answers
Los Gatos,Santa Clara County,2008,2052,2382,1.3125,0.5436,real Answers
El Cerrito,Contra Costa County,1994,808,1404,0.0000,0.0000,real Answers
Dublin,Alameda County,1999,1600,2398,0.4629,0.2610,real Answers
Novato,Marin County,2011,1465,1623,0.8543,0.1814,real Answers
Alameda,Alameda County,2008,1443,1675,0.7803,0.1883,real Answers
Santa Clara,Santa Clara County,1998,1303,2035,0.4939,0.3423,real Answers
Novato,Marin County,2005,1212,1545,0.5335,0.1250,real Answers
Larkspur,Marin County,2011,1963,2174,0.2580,-0.1985,real Answers
Corte Madera,Marin County,2000,2138,3067,0.6364,0.3503,real Answers
Sunnyvale,Santa Clara County,2006,1322,1634,0.5269,0.0853,real Answers
Santa Clara,Santa Clara County,1999,1342,2011,0.5386,0.3264,real Answers
Petaluma,Sonoma County,1997,862,1389,0.1884,0.1018,real Answers
Alameda,Alameda County,2013,1658,1750,1.0458,0.2416,real Answers
Los Gatos,Santa Clara County,2005,1300,1658,0.4648,0.0746,real Answers
Milpitas,Santa Clara County,1999,1218,1825,0.4430,0.2439,real Answers
Pinole,Contra Costa County,2014,1553,1593,1.3348,0.3778,real Answers
Benicia,Solano County,2009,1294,1491,0.8682,0.2380,real Answers
South San Francisco,San Mateo County,2009,1948,2244,1.8327,0.8772,real Answers
Walnut Creek,Contra Costa County,2015,1993,1993,1.5697,0.4778,real Answers
Albany,Alameda County,2011,1331,1475,0.6385,0.0439,real Answers
Sunnyvale,Santa Clara County,2009,1426,1643,0.6474,0.0917,real Answers
Antioch,Contra Costa County,2015,1324,1324,1.2338,0.2846,real Answers
Antioch,Contra Costa County,2013,1085,1145,0.8308,0.1111,real Answers
Oakland,Alameda County,1997,644,1038,0.0425,-0.0335,real Answers
Pacifica,San Mateo County,2005,1423,1815,0.7094,0.2540,real Answers
Burlingame,San Mateo County,2009,1644,1894,0.3842,-0.0827,real Answers
Concord,Contra Costa County,2015,1604,1604,1.4659,0.4181,real Answers
East Palo Alto,San Mateo County,1998,870,1359,0.3909,0.2497,real Answers
Gilroy,Santa Clara County,1999,1034,1550,0.4768,0.2730,real Answers
Mountain View,Santa Clara County,1996,1014,1691,0.2922,0.2389,real Answers
San Francisco,San Francisco County,2009,2158,2487,1.3439,0.5532,real Answers
American Canyon,Napa County,2008,1770,2054,,,real Answers
Daly City,San Mateo County,2002,1287,1724,0.7628,0.3582,real Answers
Albany,Alameda County,2001,1350,1838,0.6615,0.3011,real Answers
South San Francisco,San Mateo County,2003,1019,1341,0.4818,0.1219,real Answers
Corte Madera,Marin County,2014,2208,2266,0.6905,-0.0024,real Answers
Fremont,Alameda County,2012,1583,1708,1.1811,0.3533,real Answers
Mill Valley,Marin County,2000,1433,2056,0.6616,0.3711,real Answers
Pacifica,San Mateo County,2011,1689,1871,1.0297,0.2932,real Answers
Gilroy,Santa Clara County,2014,1754,1800,1.5057,0.4787,real Answers
San Rafael,Marin County,1999,1253,1877,0.4223,0.2261,real Answers
San Mateo,San Mateo County,2000,1713,2457,0.8949,0.5636,real Answers
Morgan Hill,Santa Clara County,2015,2066,2066,1.5511,0.4671,real Answers
Palo Alto,Santa Clara County,1996,987,1645,0.1409,0.0938,real Answers
San Ramon,Contra Costa County,2012,1699,1833,0.7313,0.0743,real Answers
Suisun City,Solano County,1998,762,1190,0.1287,0.0141,real Answers
Dublin,Alameda County,1997,1325,2136,0.2114,0.1231,real Answers
Dixon,Solano County,2008,1295,1503,,,real Answers
Pleasant Hill,Contra Costa County,2007,1267,1516,0.6400,0.1287,real Answers
Livermore,Alameda County,1997,916,1476,0.1930,0.1060,real Answers
Pleasanton,Alameda County,2000,1411,2024,0.7124,0.4131,real Answers
Vacaville,Solano County,2014,1283,1317,1.0110,0.1867,real Answers
Newark,Alameda County,2007,1442,1726,0.8787,0.2930,real Answers
Campbell,Santa Clara County,2006,1233,1524,0.6414,0.1667,real Answers
Pleasanton,Alameda County,2009,1443,1662,0.7511,0.1604,real Answers
